repository,degree_centrality,pagerank_score,hub_score,authority_score,id,stars,language,source_edge_count,target_edge_count,total_edge_count
academic/awesome-datascience,0.30356641392867173,0.0005511212836690046,0.0007366024936995074,0.0007366024936995061,academic/awesome-datascience,28935,unknown,858,223,1081
kuwala-io/kuwala,0.29879247402415055,0.0005506229884616549,0.0007479552898325379,0.0007479552898325382,kuwala-io/kuwala,809,javascript,454,610,1064
enpeizhao/CVprojects,0.30356641392867173,0.0005503648772864393,0.0008599140553148363,0.0008599140553148361,enpeizhao/CVprojects,2594,jupyter notebook,630,451,1081
wix/Detox,0.2735186745296265,0.0005500392798410533,0.0003974243633311671,0.0003974243633311668,wix/Detox,11901,javascript,25,949,974
h2oai/h2o-3,0.31199101376017974,0.0005497820359265486,0.0008845442099957269,0.0008845442099957271,h2oai/h2o-3,7488,jupyter notebook,558,553,1111
xiaolincoder/CS-Base,0.2909295141814097,0.0005494679306509351,0.0006871734502078893,0.000687173450207891,xiaolincoder/CS-Base,17819,unknown,18,1018,1036
nucleuscloud/neosync,0.2788542544229149,0.0005486813613355669,0.0004380248134073909,0.00043802481340739127,nucleuscloud/neosync,4149,go,299,694,993
Lightning-AI/pytorch-lightning,0.3181690536366189,0.0005485516851475945,0.000931408910603104,0.0009314089106031034,Lightning-AI/pytorch-lightning,31092,python,1012,121,1133
enactic/openarm,0.30216231395675375,0.0005477892570741553,0.000846347233190142,0.000846347233190141,enactic/openarm,2340,mdx,630,446,1076
NeumTry/NeumAI,0.30468969390620615,0.000547472536074576,0.000810502495667621,0.0008105024956676202,NeumTry/NeumAI,868,python,949,136,1085
bentoml/BentoML,0.31479921370401576,0.0005467096250238648,0.0009113044244666971,0.0009113044244666972,bentoml/BentoML,8610,python,771,350,1121
voxel51/fiftyone,0.31142937377141255,0.0005455862541249209,0.0008959481995522249,0.0008959481995522244,voxel51/fiftyone,10619,python,42,1067,1109
twentyhq/twenty,0.2771693344566133,0.0005450159332802947,0.0004396560838643896,0.0004396560838643893,twentyhq/twenty,45307,typescript,79,908,987
kserve/kserve,0.30272395394552093,0.000544234250993522,0.000739974479470764,0.0007399744794707623,kserve/kserve,5397,go,434,644,1078
encoredev/encore,0.2693063746138725,0.0005441004698756535,0.0003882329512622458,0.00038823295126224575,encoredev/encore,11885,go,553,406,959
louisfb01/best_AI_papers_2022,0.31395675372086496,0.0005432652346342913,0.0009225666277632693,0.0009225666277632682,louisfb01/best_AI_papers_2022,3189,unknown,414,704,1118
d2l-ai/d2l-en,0.3083403538331929,0.0005432585535010541,0.0008852802229101929,0.000885280222910192,d2l-ai/d2l-en,28725,python,705,393,1098
therecipe/qt,0.2625666947486661,0.0005425721145897596,0.00031468773294138864,0.00031468773294138875,therecipe/qt,10786,go,108,827,935
